# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
386 0.673566878  0.484633565  8.676868897  5.059347126  26.0420
387 0.675159216  0.481132150  8.702903320  5.033312703  26.0344
388 0.676751614  0.477647066  8.728931975  5.007284047  26.0287
389 0.678343892  0.474178553  8.754951803  4.981264220  26.0198
390 0.679936290  0.470726013  8.780966559  4.955249463  26.0148
391 0.681528687  0.467289686  8.806974160  4.929241863  26.0076
392 0.683121026  0.463869452  8.832973494  4.903242528  25.9993
393 0.684713423  0.460465074  8.858966375  4.877249648  25.9929
394 0.686305702  0.457076669  8.884949747  4.851266275  25.9834
395 0.687898099  0.453703642  8.910927370  4.825288652  25.9776
396 0.689490378  0.450346589  8.936895221  4.799320802  25.9679
397 0.691082776  0.447004676  8.962857056  4.773358967  25.9618
398 0.692675173  0.443678141  8.988810800  4.747405222  25.9537
399 0.694267511  0.440366983  9.014755353  4.721460670  25.9446
400 0.695859909  0.437070847  9.040692527  4.695523495  25.9372
401 0.697452188  0.433790088  9.066619284  4.669596738  25.9268
402 0.699044585  0.430523872  9.092539378  4.643676645  25.9201
403 0.700636923  0.427272797  9.118449771  4.617766251  25.9104
404 0.702229321  0.424036264  9.144352279  4.591863743  25.9025
405 0.703821719  0.420814395  9.170245807  4.565970215  25.8935
406 0.705413997  0.417607307  9.196128295  4.540087728  25.8825
407 0.707006395  0.414414406  9.222003494  4.514212528  25.8752
408 0.708598673  0.411236048  9.247867410  4.488348612  25.8639
409 0.710191071  0.408071756  9.273723795  4.462492227  25.8564
410 0.711783409  0.404921770  9.299569626  4.436646397  25.8458
411 0.713375807  0.401785731  9.325406717  4.410809306  25.8371
